"site","min_prec","mean_prec","max_prec","min_tmean","mean_tmean","max_tmean"
5,1036.29999732971,1077.95059559665,1118.90000534058,6.58333333333333,6.8931805319751,7.20833333333333
67,1155.19999694824,1207.41920199606,1262.39999961853,6.45833333333333,7.14841920374707,7.875
68,1155.19999694824,1206.54315612191,1262.39999961853,6.45833333333333,7.13684210526316,7.875
602,915.799999237061,1132.24933007097,1200.10000038147,7.54166666666667,7.97813817194988,8.58333333333333
603,843.100004196167,886.317569760036,932.699989318847,7.04166666666667,8.25246636771301,9.41666666666667
604,843.100004196167,891.650935955459,932.699989318847,7.54166666666667,8.41905266878756,9.41666666666667
605,1011.60000228882,1108.19729759226,1296.00000667572,7.70833333333333,8.63317438692098,9.91666666666667
606,903.100009918213,1066.2024778001,1180.80001068115,7.58333333333333,7.95975686912509,8.83333333333333
607,1088.20000076294,1222.64911761961,1347.80000305176,7.5,7.61377531970503,7.79166666666667
612,834.200006484986,894.372568360022,992.799995422363,7.33333333333333,8.25316681534344,8.95833333333333
613,694.499999046326,832.09166436639,1037.50001335144,6.875,7.84014361972547,8.83333333333333
622,695.799999237061,858.87232583291,1057.29999732971,6.70833333333333,7.28604745115322,8.5
623,1043.80000495911,1239.44979077195,1487.00001525879,7.25,7.71117491166078,8.75
