"site","min_N","mean_N","max_N","min_SDI","mean_SDI","max_SDI","min_AGE","mean_AGE","max_AGE","min_dg","mean_dg","max_dg","min_year","max_year"
5,10,27.1830683188905,57.0240260328837,709.04394262819,1654.38196284844,3303.58022820888,138,140.478777589134,143,41.0735681430284,51.1880232937726,69.6394695146776,1985,1991
67,7.75156762758443,22.5750481637941,55.2448827576329,571.248944877377,1408.62409745367,3271.03183185331,126,128.435597189696,131,42.8695757655215,53.8242747769959,66.3652268385586,1985,1990
68,1.93443656398646,28.9626573179329,58.6895634580744,57.4955364527443,1536.26121838027,2778.15993924298,125,127.394736842105,130,27.6,49.1098344671758,65.6363390203933,1985,1990
602,4.98322832403812,27.9123550895475,92.0123706980686,301.943560583029,1672.18297429357,4136.06473307252,27,34.7528148276459,51,8.69779665585869,15.7884916152046,34.3461564303557,1989,2013
603,1,29.4047325269405,117.9265216737,66.0866889248555,1380.99059464723,4536.9377850289,17,31.5074602527517,54,5,13.863820347085,46.4507573365909,1980,2017
604,2,22.9367546355391,87.022658320922,153.207496756423,1289.63923085196,4424.88887930651,21,33.2142099681866,54,6.77782331496542,14.6302002583932,34.0364300629277,1985,2017
605,1,14.2238461979505,58.9862000796835,62.1881680007372,1031.04888451263,3460.53449910904,21,36.2495458673933,63,5,19.0848237245047,42.9040790601546,1973,2015
606,4,35.0913593531431,101.780362645438,281.576594435962,1647.24634343052,4698.78631526644,45,51.5542299349241,62,13.7185093942454,22.04467964647,37.7637686443266,1998,2015
607,2,24.1459981085683,87.5660224014617,291.080783199336,1443.96746095257,4640.21844139638,48,52.7272472696724,60,14.8503056853173,25.5477754605814,40.3187921446067,2001,2013
612,1,17.1680737233985,74.4119138564068,47.8814267038506,1208.9137530206,3575.00677563098,27,34.9297948260482,48,5.2,20.1447542133089,53.1,1996,2017
613,3,29.1780110643482,104.340329156445,183.809073595205,1505.67862450311,4679.52300775407,55,70.1799694966955,100,11.65126602563,25.4561159737009,53.3419534700408,1982,2016
622,1,7.99429043990019,28.8886401079954,26.7549059718379,666.885431274804,3784.54946000857,23,30.177831643896,44,5.2,17.6943314727295,42.0080349457101,1997,2018
623,3,25.9950725832945,71.8986845870703,245.855054135292,1534.67558216251,3826.52626492824,27,32.9593639575972,43,8.35952550487566,16.6412354686016,32.9871186980615,1999,2015
